Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
3rujns8n,10745513,MR1_HH3.mp3,3,4,6,trial,75,5,trial,67
3rujns8n,10745513,MR1_LH3.mp3,3,2,10,trial,69,1,trial,82
3rujns8n,10745513,MR1_MH2.mp3,3,3,3,trial,68,14,trial,66
3rujns8n,10745513,MR1_Oct.mp3,3,1,14,trial,70,2,trial,77
3vgzsb84,10621131,HR1_HH3.mp3,4,4,15,trial,66,5,trial,60
3vgzsb84,10621131,HR1_LH3.mp3,4,2,7,trial,33,15,trial,18
3vgzsb84,10621131,HR1_MH2.mp3,4,3,6,trial,61,16,trial,23
3vgzsb84,10621131,HR1_Oct.mp3,4,1,16,trial,74,11,trial,42
3vgzsb84,10621131,Iso_HH3.mp3,1,4,10,trial,27,7,trial,26
3vgzsb84,10621131,Iso_LH3.mp3,1,2,9,trial,18,12,trial,22
3vgzsb84,10621131,Iso_MH2.mp3,1,3,8,trial,61,1,trial,22
3vgzsb84,10621131,Iso_Oct.mp3,1,1,5,trial,78,14,trial,64
3vgzsb84,10621131,LR3_HH3.mp3,2,4,13,trial,60,8,trial,61
3vgzsb84,10621131,LR3_LH3.mp3,2,2,1,trial,69,2,trial,55
3vgzsb84,10621131,LR3_MH2.mp3,2,3,12,trial,67,6,trial,69
3vgzsb84,10621131,LR3_Oct.mp3,2,1,4,trial,63,3,trial,42
3vgzsb84,10621131,MR1_HH3.mp3,3,4,3,trial,79,13,trial,69
3vgzsb84,10621131,MR1_LH3.mp3,3,2,14,trial,66,9,trial,74
3vgzsb84,10621131,MR1_MH2.mp3,3,3,11,trial,62,10,trial,77
3vgzsb84,10621131,MR1_Oct.mp3,3,1,2,trial,65,4,trial,23
48uynabp,10615324,HR1_HH3.mp3,4,4,2,trial,30,12,trial,29
48uynabp,10615324,HR1_LH3.mp3,4,2,4,trial,12,16,trial,33
48uynabp,10615324,HR1_MH2.mp3,4,3,8,trial,56,5,trial,32
48uynabp,10615324,HR1_Oct.mp3,4,1,9,trial,35,14,trial,27
48uynabp,10615324,Iso_HH3.mp3,1,4,12,trial,95,8,trial,71
48uynabp,10615324,Iso_LH3.mp3,1,2,10,trial,96,10,trial,65
48uynabp,10615324,Iso_MH2.mp3,1,3,16,trial,90,6,trial,15
48uynabp,10615324,Iso_Oct.mp3,1,1,1,trial,72,4,trial,75
48uynabp,10615324,LR3_HH3.mp3,2,4,11,trial,87,11,trial,79
48uynabp,10615324,LR3_LH3.mp3,2,2,7,trial,64,7,trial,78
48uynabp,10615324,LR3_MH2.mp3,2,3,3,trial,60,9,trial,36
48uynabp,10615324,LR3_Oct.mp3,2,1,15,trial,75,13,trial,38
48uynabp,10615324,MR1_HH3.mp3,3,4,14,trial,26,1,trial,37
48uynabp,10615324,MR1_LH3.mp3,3,2,5,trial,24,15,trial,61
48uynabp,10615324,MR1_MH2.mp3,3,3,6,trial,62,3,trial,58
48uynabp,10615324,MR1_Oct.mp3,3,1,13,trial,31,2,trial,33
4kae0wzc,10615291,HR1_HH3.mp3,4,4,4,trial,52,3,trial,44
4kae0wzc,10615291,HR1_LH3.mp3,4,2,15,trial,51,4,trial,44
4kae0wzc,10615291,HR1_MH2.mp3,4,3,10,trial,52,9,trial,52
4kae0wzc,10615291,HR1_Oct.mp3,4,1,12,trial,52,15,trial,48
4kae0wzc,10615291,Iso_HH3.mp3,1,4,3,trial,52,13,trial,46
4kae0wzc,10615291,Iso_LH3.mp3,1,2,6,trial,53,8,trial,52
4kae0wzc,10615291,Iso_MH2.mp3,1,3,7,trial,46,2,trial,37
4kae0wzc,10615291,Iso_Oct.mp3,1,1,8,trial,47,16,trial,46
4kae0wzc,10615291,LR3_HH3.mp3,2,4,5,trial,51,6,trial,41
4kae0wzc,10615291,LR3_LH3.mp3,2,2,11,trial,53,10,trial,44
4kae0wzc,10615291,LR3_MH2.mp3,2,3,9,trial,53,11,trial,45
4kae0wzc,10615291,LR3_Oct.mp3,2,1,2,trial,52,7,trial,51
4kae0wzc,10615291,MR1_HH3.mp3,3,4,1,trial,51,1,trial,55
4kae0wzc,10615291,MR1_LH3.mp3,3,2,14,trial,54,5,trial,42
4kae0wzc,10615291,MR1_MH2.mp3,3,3,13,trial,52,14,trial,47
4kae0wzc,10615291,MR1_Oct.mp3,3,1,16,trial,51,12,trial,46
4uzwt11f,10747804,HR1_HH3.mp3,4,4,7,trial,30,4,trial,37
4uzwt11f,10747804,HR1_LH3.mp3,4,2,14,trial,64,5,trial,31
4uzwt11f,10747804,HR1_MH2.mp3,4,3,6,trial,22,10,trial,26
4uzwt11f,10747804,HR1_Oct.mp3,4,1,15,trial,63,14,trial,15
4uzwt11f,10747804,Iso_HH3.mp3,1,4,13,trial,89,9,trial,21
