Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
2qfqx5ns,10612173,LR3_MH2.mp3,2,3,7,trial,30,13,trial,15
2qfqx5ns,10612173,LR3_Oct.mp3,2,1,14,trial,54,14,trial,10
2qfqx5ns,10612173,MR1_HH3.mp3,3,4,8,trial,6,16,trial,4
2qfqx5ns,10612173,MR1_LH3.mp3,3,2,15,trial,57,15,trial,57
2qfqx5ns,10612173,MR1_MH2.mp3,3,3,2,trial,13,2,trial,43
2qfqx5ns,10612173,MR1_Oct.mp3,3,1,13,trial,46,7,trial,57
2x3d91be,10640064,HR1_HH3.mp3,4,4,9,trial,0,7,trial,23
2x3d91be,10640064,HR1_LH3.mp3,4,2,2,trial,20,10,trial,28
2x3d91be,10640064,HR1_MH2.mp3,4,3,1,trial,37,11,trial,28
2x3d91be,10640064,HR1_Oct.mp3,4,1,10,trial,28,5,trial,0
2x3d91be,10640064,Iso_HH3.mp3,1,4,8,trial,22,6,trial,19
2x3d91be,10640064,Iso_LH3.mp3,1,2,7,trial,62,14,trial,22
2x3d91be,10640064,Iso_MH2.mp3,1,3,15,trial,70,13,trial,15
2x3d91be,10640064,Iso_Oct.mp3,1,1,11,trial,80,15,trial,26
2x3d91be,10640064,LR3_HH3.mp3,2,4,12,trial,100,1,trial,63
2x3d91be,10640064,LR3_LH3.mp3,2,2,6,trial,65,2,trial,53
2x3d91be,10640064,LR3_MH2.mp3,2,3,13,trial,73,16,trial,54
2x3d91be,10640064,LR3_Oct.mp3,2,1,5,trial,0,12,trial,34
2x3d91be,10640064,MR1_HH3.mp3,3,4,14,trial,81,8,trial,63
2x3d91be,10640064,MR1_LH3.mp3,3,2,4,trial,34,9,trial,67
2x3d91be,10640064,MR1_MH2.mp3,3,3,16,trial,66,4,trial,32
2x3d91be,10640064,MR1_Oct.mp3,3,1,3,trial,62,3,trial,39
2y1ghdyb,10551166,HR1_HH3.mp3,4,4,6,trial,3,7,trial,14
2y1ghdyb,10551166,HR1_LH3.mp3,4,2,9,trial,1,15,trial,15
2y1ghdyb,10551166,HR1_MH2.mp3,4,3,13,trial,2,14,trial,12
2y1ghdyb,10551166,HR1_Oct.mp3,4,1,10,trial,4,16,trial,12
2y1ghdyb,10551166,Iso_HH3.mp3,1,4,5,trial,1,4,trial,27
2y1ghdyb,10551166,Iso_LH3.mp3,1,2,3,trial,15,11,trial,36
2y1ghdyb,10551166,Iso_MH2.mp3,1,3,8,trial,3,10,trial,28
2y1ghdyb,10551166,Iso_Oct.mp3,1,1,16,trial,25,12,trial,37
2y1ghdyb,10551166,LR3_HH3.mp3,2,4,7,trial,4,6,trial,11
2y1ghdyb,10551166,LR3_LH3.mp3,2,2,12,trial,8,9,trial,36
2y1ghdyb,10551166,LR3_MH2.mp3,2,3,11,trial,8,5,trial,35
2y1ghdyb,10551166,LR3_Oct.mp3,2,1,2,trial,31,13,trial,40
2y1ghdyb,10551166,MR1_HH3.mp3,3,4,1,trial,5,8,trial,22
2y1ghdyb,10551166,MR1_LH3.mp3,3,2,14,trial,62,2,trial,73
2y1ghdyb,10551166,MR1_MH2.mp3,3,3,15,trial,28,1,trial,77
2y1ghdyb,10551166,MR1_Oct.mp3,3,1,4,trial,64,3,trial,69
3ebpayor,10517382,HR1_HH3.mp3,4,4,5,trial,15,16,trial,8
3ebpayor,10517382,HR1_LH3.mp3,4,2,2,trial,1,12,trial,36
3ebpayor,10517382,HR1_MH2.mp3,4,3,6,trial,63,8,trial,0
3ebpayor,10517382,HR1_Oct.mp3,4,1,10,trial,67,3,trial,1
3ebpayor,10517382,Iso_HH3.mp3,1,4,8,trial,10,14,trial,4
3ebpayor,10517382,Iso_LH3.mp3,1,2,11,trial,61,5,trial,39
3ebpayor,10517382,Iso_MH2.mp3,1,3,13,trial,33,6,trial,17
3ebpayor,10517382,Iso_Oct.mp3,1,1,12,trial,35,1,trial,18
