"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"enbb2c1s",10756682,"chinese",5,3,2,5,6,5,2,6,1,5,3,2,5,6,5,3,5,3,6,2,5,1,4,5,1,4,5,5,4,5,4,5,5,5,5,4,4,5,5,5
"eobj3i6a",10614681,"chinese",3,3,6,5,5,5,6,5,3,5,3,4,5,7,5,1,1,1,1,1,4,2,5,4,2,3,5,5,4,4,2,3,3,4,5,4,2,5,4,4
"ewvs2q5j",10617408,"chinese",4,4,2,3,5,3,3,6,1,5,3,5,4,4,6,1,1,1,1,1,5,2,4,4,1,5,4,5,5,4,5,3,4,4,5,4,4,2,5,4
"f2fjrd2u",10757224,"chinese",7,7,4,7,7,7,4,7,1,7,1,7,4,4,7,2,2,3,3,2,5,1,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,1,5,5
"flg5dksq",10678657,"chinese",5,3,5,7,7,5,3,3,2,5,4,7,6,2,5,4,5,5,3,5,3,2,4,4,5,5,5,3,5,4,1,3,2,5,4,5,3,4,2,4
"g75gt91l",10756688,"chinese",6,7,6,5,6,6,1,6,1,6,1,6,1,1,6,5,6,7,7,6,4,1,4,5,1,4,5,5,4,5,4,4,5,4,4,5,4,5,4,5
"ga50k9x9",10620816,"chinese",7,6,6,6,6,5,2,6,2,6,5,4,4,2,5,3,4,5,5,3,5,2,4,4,4,5,5,5,4,5,4,5,4,4,5,5,4,5,4,5
"gczc4xz3",10615370,"chinese",5,6,3,5,5,2,1,5,2,3,1,5,6,7,3,2,3,1,2,2,4,1,4,5,1,4,5,4,4,5,4,4,2,5,4,4,4,4,5,4
"gjp1llm5",10620269,"chinese",3,2,1,5,6,5,6,5,3,5,5,5,6,7,5,1,1,6,1,2,5,2,4,4,1,5,5,4,4,4,5,4,4,5,4,4,4,4,5,4
"gpu48luv",10615412,"chinese",5,3,5,6,4,5,3,5,2,5,3,4,2,5,5,2,3,2,3,3,5,1,4,5,2,4,5,5,4,4,5,4,5,5,4,4,5,2,4,5
"gwyxdf19",10620115,"chinese",3,2,1,2,1,2,7,1,3,2,6,5,3,7,3,1,1,1,1,1,4,1,5,4,2,4,5,5,4,5,4,4,5,5,4,4,4,5,5,5
"h4duc36w",10615340,"chinese",2,1,3,2,1,1,2,3,2,1,6,2,1,5,6,1,1,1,1,1,4,2,5,4,2,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4
"he6natzz",10615520,"chinese",5,3,5,5,6,5,4,3,3,6,3,2,2,5,6,2,1,1,1,1,4,2,4,5,2,4,5,4,4,5,4,4,3,4,5,4,3,5,4,4
"hz1y5cvn",10620969,"chinese",3,2,3,3,6,4,3,3,4,3,2,4,4,7,3,1,1,1,1,1,5,2,4,4,2,4,4,4,4,4,3,2,5,5,4,4,2,2,4,2
"hz42392e",10748337,"chinese",6,5,7,6,5,5,2,5,2,5,2,5,2,2,5,3,7,4,4,3,4,2,5,4,2,5,4,4,5,4,4,5,5,4,4,5,4,4,5,5
"i1tgubi1",10620810,"chinese",5,4,7,5,4,6,5,5,1,6,2,6,7,6,6,3,5,5,5,2,5,1,4,4,1,4,5,4,5,4,4,4,5,5,5,4,5,5,4,5
"i5bmhow7",10747958,"chinese",5,2,5,5,1,2,2,6,2,5,2,1,2,5,2,1,1,1,1,1,4,1,5,4,1,4,4,5,4,4,5,4,5,4,4,4,5,4,5,4
"ibnzywow",10615435,"chinese",6,2,6,6,6,5,3,6,3,4,4,6,6,3,4,2,4,4,4,2,4,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
"iei7ln9k",10615346,"chinese",5,3,6,7,5,6,3,5,2,5,6,4,2,5,2,5,3,5,4,3,4,2,4,5,2,4,5,4,5,4,4,5,4,5,4,3,4,2,5,4
"isfhkzrg",10615343,"chinese",5,3,4,6,6,5,2,7,3,5,2,6,3,4,5,3,2,4,3,2,4,1,4,5,2,4,5,5,4,5,5,4,4,5,5,4,3,4,5,4
"iuv6lvnc",10615318,"chinese",5,6,4,5,6,7,2,5,3,5,2,5,1,6,7,3,4,3,5,3,4,2,4,5,2,4,5,4,5,4,5,4,5,4,5,5,3,5,4,5
"j4q0majr",10747871,"chinese",5,2,5,2,1,2,1,2,1,2,5,1,2,5,2,1,1,1,1,1,4,2,4,5,1,4,5,4,4,4,5,4,4,5,4,5,5,4,5,5
"jbwkllmq",10621399,"chinese",6,4,6,5,4,5,3,5,2,5,2,5,3,6,5,2,4,2,2,2,4,2,4,4,2,5,4,4,5,4,4,5,4,5,4,4,3,4,3,4
"jck7wq2i",10615369,"chinese",5,5,4,6,6,6,2,6,2,5,2,2,2,2,5,2,1,1,1,1,4,2,5,5,2,4,5,5,5,4,5,5,4,5,5,5,3,3,5,5
"jhn7bb1x",10771729,"chinese",7,4,3,7,7,6,1,6,2,6,1,7,2,3,4,5,5,6,6,2,4,1,5,5,2,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4
