"Participant.Public.ID","Participant.Private.ID","Spreadsheet..audio","Trial.Number.x","Display.x","Response.x","Trial.Number.y","Display.y","Response.y"
"2l0uqiz5","10679119","real_65_32bit.mp3","17","Trial",62,"4","Trial",78
"2l0uqiz5","10679119","real_70_32bit.mp3","6","Trial",62,"6","Trial",66
"2l0uqiz5","10679119","real_77_32bit.mp3","1","Trial",90,"14","Trial",62
"2l0uqiz5","10679119","real_82_32bit.mp3","20","Trial",33,"20","Trial",67
"2l0uqiz5","10679119","real_83_32bit.mp3","14","Trial",57,"1","Trial",63
"2l0uqiz5","10679119","real_91_32bit.mp3","8","Trial",37,"17","Trial",72
"2l0uqiz5","10679119","real_97_32bit.mp3","24","Trial",35,"16","Trial",61
"2l0uqiz5","10679119","real_98_32bit.mp3","7","Trial",56,"11","Trial",57
"3cfrzjo6","10616185","Half_real_37_32bit.mp3","1","Trial",72,"8","Trial",69
"3cfrzjo6","10616185","Half_real_50_32bit.mp3","15","Trial",63,"17","Trial",67
"3cfrzjo6","10616185","Half_real_53_32bit.mp3","2","Trial",69,"23","Trial",55
"3cfrzjo6","10616185","Half_real_54_32bit.mp3","17","Trial",64,"3","Trial",72
"3cfrzjo6","10616185","Half_real_58_32bit.mp3","16","Trial",66,"18","Trial",67
"3cfrzjo6","10616185","Half_real_73_32bit.mp3","20","Trial",40,"20","Trial",33
"3cfrzjo6","10616185","Half_real_74_32bit.mp3","21","Trial",60,"11","Trial",69
"3cfrzjo6","10616185","real_08_32bit.mp3","14","Trial",38,"2","Trial",72
"3cfrzjo6","10616185","real_102_32bit.mp3","22","Trial",65,"13","Trial",68
"3cfrzjo6","10616185","real_12_32bit.mp3","8","Trial",68,"21","Trial",33
"3cfrzjo6","10616185","real_21_32bit.mp3","18","Trial",60,"10","Trial",71
"3cfrzjo6","10616185","real_24_32bit.mp3","12","Trial",38,"4","Trial",67
"3cfrzjo6","10616185","real_33_32bit.mp3","3","Trial",67,"16","Trial",70
"3cfrzjo6","10616185","real_35_32bit.mp3","4","Trial",67,"1","Trial",81
"3cfrzjo6","10616185","real_39_2_32bit.mp3","23","Trial",66,"24","Trial",65
"3cfrzjo6","10616185","real_42_2_32bit.mp3","10","Trial",67,"7","Trial",66
"3cfrzjo6","10616185","real_65_32bit.mp3","13","Trial",41,"5","Trial",70
"3cfrzjo6","10616185","real_70_32bit.mp3","11","Trial",61,"14","Trial",74
"3cfrzjo6","10616185","real_77_32bit.mp3","6","Trial",78,"19","Trial",66
"3cfrzjo6","10616185","real_82_32bit.mp3","9","Trial",62,"12","Trial",67
"3cfrzjo6","10616185","real_83_32bit.mp3","5","Trial",73,"15","Trial",68
"3cfrzjo6","10616185","real_91_32bit.mp3","7","Trial",64,"22","Trial",62
"3cfrzjo6","10616185","real_97_32bit.mp3","24","Trial",56,"9","Trial",71
"3cfrzjo6","10616185","real_98_32bit.mp3","19","Trial",67,"6","Trial",59
"3gyrja1q","10748379","Half_real_37_32bit.mp3","5","Trial",83,"8","Trial",62
"3gyrja1q","10748379","Half_real_50_32bit.mp3","15","Trial",90,"17","Trial",73
"3gyrja1q","10748379","Half_real_53_32bit.mp3","24","Trial",76,"20","Trial",73
"3gyrja1q","10748379","Half_real_54_32bit.mp3","3","Trial",79,"19","Trial",82
"3gyrja1q","10748379","Half_real_58_32bit.mp3","8","Trial",76,"10","Trial",79
"3gyrja1q","10748379","Half_real_73_32bit.mp3","22","Trial",74,"2","Trial",71
"3gyrja1q","10748379","Half_real_74_32bit.mp3","9","Trial",65,"23","Trial",34
"3gyrja1q","10748379","real_08_32bit.mp3","17","Trial",67,"22","Trial",73
"3gyrja1q","10748379","real_102_32bit.mp3","4","Trial",86,"12","Trial",78
"3gyrja1q","10748379","real_12_32bit.mp3","6","Trial",90,"16","Trial",87
"3gyrja1q","10748379","real_21_32bit.mp3","1","Trial",86,"15","Trial",78
"3gyrja1q","10748379","real_24_32bit.mp3","20","Trial",68,"18","Trial",71
"3gyrja1q","10748379","real_33_32bit.mp3","10","Trial",78,"14","Trial",73
"3gyrja1q","10748379","real_35_32bit.mp3","16","Trial",93,"6","Trial",69
"3gyrja1q","10748379","real_39_2_32bit.mp3","11","Trial",81,"24","Trial",69
"3gyrja1q","10748379","real_42_2_32bit.mp3","7","Trial",89,"13","Trial",78
"3gyrja1q","10748379","real_65_32bit.mp3","12","Trial",72,"1","Trial",86
"3gyrja1q","10748379","real_70_32bit.mp3","2","Trial",78,"3","Trial",75
"3gyrja1q","10748379","real_77_32bit.mp3","13","Trial",35,"11","Trial",76
"3gyrja1q","10748379","real_82_32bit.mp3","18","Trial",73,"9","Trial",75
"3gyrja1q","10748379","real_83_32bit.mp3","23","Trial",64,"5","Trial",86
"3gyrja1q","10748379","real_91_32bit.mp3","21","Trial",72,"7","Trial",72
"3gyrja1q","10748379","real_97_32bit.mp3","19","Trial",74,"21","Trial",72
"3gyrja1q","10748379","real_98_32bit.mp3","14","Trial",88,"4","Trial",85
"3nion908","10615496","Half_real_37_32bit.mp3","6","Trial",60,"8","Trial",46
"3nion908","10615496","Half_real_50_32bit.mp3","18","Trial",61,"7","Trial",55
"3nion908","10615496","Half_real_53_32bit.mp3","20","Trial",71,"5","Trial",51
"3nion908","10615496","Half_real_54_32bit.mp3","22","Trial",70,"11","Trial",59
"3nion908","10615496","Half_real_58_32bit.mp3","14","Trial",61,"20","Trial",58
"3nion908","10615496","Half_real_73_32bit.mp3","15","Trial",41,"19","Trial",44
"3nion908","10615496","Half_real_74_32bit.mp3","4","Trial",47,"2","Trial",51
"3nion908","10615496","real_08_32bit.mp3","16","Trial",70,"10","Trial",54
